SeedPlayer,SeedRoom,UseCountFire,UseCountBeam,UseCountWave,HitCountFire,HitCountBeam,HitCountWave,HitsTaken,EnemyCountFire,EnemyCountBeam,EnemyCountWave,ObstacleCountFire,ObstacleCountBeam,ObstacleCountWave,EnemyAttackCount,GroundTruth,Classification
0,0,300,277,490,142,84,333,0,1,3,0,1,5,2,4,1,1
0,0,328,301,490,150,92,333,1,1,1,2,2,5,1,7,0,1
0,0,328,301,556,150,92,383,1,0,3,2,4,4,2,8,0,1
0,0,342,301,584,153,92,402,1,0,1,4,8,1,1,6,1,1
0,0,342,301,637,153,92,446,0,1,3,1,5,4,1,9,0,1
0,0,342,301,682,153,92,479,0,3,1,1,8,1,1,6,1,1
0,0,395,301,688,180,92,482,0,1,4,0,2,4,4,8,1,1
0,0,420,301,710,197,92,499,4,1,4,0,6,2,2,6,1,1
0,0,472,301,745,215,92,518,0,2,3,0,9,0,1,12,0,1
0,0,472,301,798,215,92,555,0,3,1,1,0,10,0,6,0,1
0,0,477,301,849,216,92,585,1,4,0,1,7,0,3,5,1,1
0,0,477,339,873,216,108,598,0,4,1,0,5,2,3,6,0,1
0,0,477,339,923,216,108,641,0,0,3,2,5,5,0,8,0,1
0,0,477,378,964,216,121,668,1,2,1,2,1,8,1,8,0,1
0,0,477,399,1008,216,127,692,1,1,1,3,6,4,0,7,0,1
0,0,477,408,1048,216,131,720,0,3,1,1,7,2,1,7,0,1
0,0,477,433,1097,216,138,744,2,2,1,2,0,10,0,8,0,1
0,0,477,480,1108,216,157,747,0,5,0,0,1,6,3,5,1,1
0,0,477,480,1168,216,157,798,0,0,4,1,6,2,2,10,0,1
0,0,477,488,1210,216,160,830,1,1,2,2,1,3,6,6,0,1
0,0,477,519,1234,216,172,845,0,4,1,0,0,8,2,7,1,1
0,0,477,536,1277,216,179,873,0,2,1,2,1,6,3,8,1,1
0,0,0,22,0,0,10,0,1,0,0,1,0,0,3,1,1,1
0,0,0,22,19,0,10,13,1,0,1,0,0,1,2,1,1,1
0,0,0,22,52,0,10,38,0,0,2,0,2,2,0,3,1,1
0,0,0,22,77,0,10,52,0,0,0,2,1,2,1,1,1,1
0,0,0,22,109,0,10,72,1,0,1,1,0,3,1,3,1,1
0,0,9,22,117,5,10,78,0,0,2,0,1,0,3,2,1,1
0,0,9,22,140,5,10,91,1,1,0,1,2,1,1,2,1,1
0,0,9,22,202,5,10,122,0,2,0,1,0,0,5,7,1,1
0,0,13,22,229,9,10,142,1,1,1,1,4,1,0,4,1,1
0,0,20,22,253,13,10,161,0,2,1,0,0,5,0,4,1,1
0,0,39,22,288,22,10,176,0,1,2,0,3,2,1,6,1,1
0,0,45,22,302,27,10,189,0,0,2,1,4,1,1,4,1,1
0,0,56,22,321,35,10,205,0,0,2,1,0,0,6,5,1,1
0,0,56,22,349,35,10,222,0,2,0,1,2,0,4,3,1,1
0,0,56,22,382,35,10,248,0,2,0,1,0,4,2,3,1,1
0,0,68,22,407,39,10,266,0,1,2,0,1,2,3,5,1,1
0,0,69,22,446,40,10,277,2,0,0,3,2,3,1,7,1,1
0,0,69,22,471,40,10,292,1,2,1,0,0,2,4,3,1,1
0,0,69,22,534,40,10,330,0,3,1,0,0,5,3,6,1,1
0,0,69,22,564,40,10,358,0,0,1,3,1,5,2,6,1,1
0,0,69,22,626,40,10,391,0,4,0,0,7,1,0,7,1,1
0,0,87,22,652,47,10,410,0,2,1,1,3,1,4,7,1,1
0,0,88,22,689,47,10,436,0,4,0,0,0,0,8,5,1,1
0,0,88,22,716,47,10,459,0,0,1,3,5,0,3,5,1,1
0,0,107,22,743,56,10,481,0,2,2,0,5,2,1,8,1,1
0,0,107,22,772,56,10,500,2,0,1,3,0,7,1,5,1,1
0,0,111,22,804,58,10,526,0,0,2,2,1,2,5,5,1,1
0,0,111,22,852,58,10,556,1,4,0,0,3,3,2,7,1,1
0,0,131,22,883,70,10,582,2,0,4,1,5,0,5,13,1,1
0,0,161,22,886,91,10,584,0,0,5,0,1,4,5,10,1,1
0,0,161,22,917,91,10,600,1,0,0,5,0,9,1,6,1,1
0,0,208,22,922,111,10,605,1,0,5,0,0,4,6,10,1,1
0,0,226,22,1003,117,10,673,5,0,4,1,7,0,3,11,1,1
0,0,232,22,1040,120,10,697,2,0,1,4,7,3,0,11,1,1
0,0,232,22,1110,120,10,758,0,0,5,0,8,0,2,13,1,1
0,0,232,22,1134,120,10,779,0,0,0,5,4,6,0,6,1,1
0,0,232,22,1180,120,10,811,0,3,1,1,3,6,1,8,1,1
0,0,244,22,1233,126,10,850,1,1,4,0,1,9,0,11,1,1
0,0,244,22,1281,126,10,892,0,0,3,2,1,6,3,11,1,1
